"IES_PADRE","CODIGO_INSTITUCION","NOMBRE_INSTITUCION","ESTADO_INSTITUCION","CARACTER_ACADEMICO","SECTOR","CODIGO_SNIES_DEL_PROGRAMA","CODIGO_ANTERIOR_ICFES","NOMBRE_DEL_PROGRAMA","TITULO_OTORGADO","ESTADO_PROGRAMA","RECONOCIMIENTO_DEL_MINISTERIO","RESOLUCION_DE_APROBACION","FECHA_DE_RESOLUCION","FECHA_EJECUTORIA","VIGENCIA_AÑOS","FECHA_DE_REGISTRO_EN_SNIES","YEAR","CINE_F_2013_AC_CAMPO_AMPLIO","CINE_F_2013_AC_CAMPO_ESPECIFIC","CINE_F_2013_AC_CAMPO_DETALLADO","AREA_DE_CONOCIMIENTO","NUCLEO_BASICO_DEL_CONOCIMIENTO","NIVEL_ACADEMICO","NIVEL_DE_FORMACION","MODALIDAD","NUMERO_CREDITOS","NUMERO_PERIODOS_DE_DURACION","PERIODICIDAD","SE_OFRECE_POR_CICLOS_PROPEDEUT","PERIODICIDAD_ADMISIONES","PROGRAMA_EN_CONVENIO","DEPARTAMENTO_OFERTA_PROGRAMA","MUNICIPIO_OFERTA_PROGRAMA","COSTO_MATRICULA_ESTUD_NUEVOS"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","52729","52729","DOCTORADO EN  INGENIERIA DE SISTEMAS Y COMPUTACION","DOCTOR EN  INGENIERIA","Activo","Acreditación de alta calidad","12768","06/08/2018","06/08/2018","8","23/04/2007","2007","Tecnologías de la Información y la Comunicación (TIC)","Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC)","Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC)","Ingeniería, arquitectura, urbanismo y afines","Ingeniería de sistemas, telemática y afines","Posgrado","Doctorado","Presencial","135","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","107164","107164","DOCTORADO EN ADMINISTRACIÓN","DOCTOR(A) EN ADMINISTRACIÓN","Activo","Registro calificado","9913","19/06/2018","19/06/2018","7","12/07/2018","2018","Administración de Empresas y Derecho","Educación comercial y administración","Gestión y administración","Economía, administración, contaduría y afines","Administración","Posgrado","Doctorado","Presencial","135","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","8908265"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","55123","55123","DOCTORADO EN AGROECOLOGÍA","DOCTOR EN AGROECOLOGÍA","Activo","Registro calificado","1","24/07/2014","24/07/2014","7","22/01/2010","2010","Agropecuario, Silvicultura, Pesca y Veterinaria","Agropecuario","Producción agrícola y ganadera","Agronomía, veterinaria y afines","Agronomía","Posgrado","Doctorado","Presencial","120","8","Semestral","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","9558260"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","55186","55186","DOCTORADO EN ANTROPOLOGIA","DOCTOR EN ANTROPOLOGIA","Activo","Registro calificado","1","24/07/2014","24/07/2014","7","14/05/2010","2010","Ciencias Sociales, Periodismo e Información","Ciencias sociales y del comportamiento","Sociología, Antropología y estudios culturales","Ciencias sociales y humanas","Antropología y  artes liberales","Posgrado","Doctorado","Presencial","149","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","52727","52727","DOCTORADO EN ARTE Y ARQUITECTURA","DOCTOR EN ARTE Y ARQUITECTURA","Activo","n/a","","","","","23/04/2007","2007","Ingeniería, Industria y Construcción","Arquitectura y construcción","Arquitectura y urbanismo","Bellas artes","Artes plásticas, visuales y afines","Posgrado","Doctorado","Presencial","140","8","Semestral","No","","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","52728","52728","DOCTORADO EN BIOTECNOLOGIA","DOCTOR EN BIOTECNOLOGIA","Activo","Acreditación de alta calidad","5075","30/03/2023","21/04/2023","8","23/04/2007","2007","Ciencias Naturales, Matemáticas y Estadística","Ciencias biológicas y afines","Biología","Matemáticas y ciencias naturales","Biología, microbiología y afines","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","106334","106334","DOCTORADO EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","DOCTOR EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","Activo","n/a","12257","22/06/2017","22/06/2017","","27/06/2017","2017","Ingeniería, Industria y Construcción","Industria y procesamiento","Procesamiento de alimentos","Ingeniería, arquitectura, urbanismo y afines","Ingeniería agroindustrial, alimentos y afines","Posgrado","Doctorado","Presencial","110","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","9558260"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","106962","106962","DOCTORADO EN CIENCIAS - ASTRONOMÍA","DOCTOR EN CIENCIAS - ASTRONOMÍA","Activo","n/a","8688","25/05/2018","25/05/2018","","21/06/2018","2018","Ciencias Naturales, Matemáticas y Estadística","Ciencias físicas","Ciencias físicas no clasificadas en otra parte","Matemáticas y ciencias naturales","Geología, otros programas de ciencias naturales","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Anual","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","19892","1.101757400011E+20","DOCTORADO EN CIENCIAS - BIOLOGIA","DOCTOR EN CIENCIAS - BIOLOGIA","Activo","Acreditación de alta calidad","1257","31/01/2014","31/01/2014","8","25/08/2003","2003","Ciencias Naturales, Matemáticas y Estadística","Ciencias biológicas y afines","Biología","Matemáticas y ciencias naturales","Biología, microbiología y afines","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
"1101","1101","UNIVERSIDAD NACIONAL DE COLOMBIA","Activa","Universidad","Oficial","101982","101982","DOCTORADO EN CIENCIAS - BIOQUIMICA","DOCTOR EN CIENCIAS - BIOQUIMICA","Activo","Registro calificado","40","25/05/2012","25/05/2012","20","25/09/2012","2012","Ciencias Naturales, Matemáticas y Estadística","Programas y certificaciones interdisciplinarios relativos a ciencias naturales, matemáticas y estadística","Programas y certificaciones interdisciplinarios relativos a ciencias naturales, matemáticas y estadística","Matemáticas y ciencias naturales","Química y afines","Posgrado","Doctorado","Presencial","150","8","Semestral","No","Semestral","N","Bogotá, D.C.","Bogotá, D.C.","10424920"
